Name,Asset ID,Collection Name,Seller,Schema Name,Price,Price USD
SpiderDolp,1099597285655,dolpchainwax,n3ar.wam,events,41.99 WAX,($2.89)
Dulk,1099600692578,dolpchainwax,tzgru.wam,events,0.9 WAX,($0.06)
Dulk,1099596675169,dolpchainwax,d4vig.wam,events,18 WAX,($1.24)
Easter Dolp,1099520858219,dolpchainwax,padmapalchen,events,10 WAX,($0.69)
Dulk,1099597863192,dolpchainwax,cu2xu.wam,events,700 WAX,($47.88)
Dolp farmer,1099521183790,dolpchainwax,pw4r4.wam,events,90 WAX,($6.16)
Grey Dolp,1099675776829,dolpchainwax,d4zra.wam,events,10 WAX,($0.68)
SpiderDolp,1099598474219,dolpchainwax,tiefg.wam,events,48 WAX,($3.28)
SpiderDolp,1099596764815,dolpchainwax,aywr.wam,events,42 WAX,($2.87)
Grey Dolp,1099677746929,dolpchainwax,4arr2.wam,events,99 WAX,($6.77)
SpiderDolp,1099597304168,dolpchainwax,n3ar.wam,events,41.99 WAX,($2.87)
SpiderDolp,1099596983341,dolpchainwax,xcv2g.c.wam,events,91.14 WAX,($6.23)
Tokyo 2020,1099611647804,dolpchainwax,1pbra.wam,events,1.6 WAX,($0.11)
Black Widolp,1099675953151,dolpchainwax,ytkw2.wam,events,0.94 WAX,($0.06)
Black Widolp,1099596712324,dolpchainwax,mwtfq.wam,events,1 WAX,($0.07)
SpiderDolp,1099598064253,dolpchainwax,5mciw.wam,events,45 WAX,($3.08)
Dulk,1099596712323,dolpchainwax,mwtfq.wam,events,1 WAX,($0.07)
Dulk,1099597002840,dolpchainwax,lqafs.wam,events,150 WAX,($10.31)
Grey Dolp,1099676203709,dolpchainwax,32lr4.wam,events,20 WAX,($1.37)
SpiderDolp,1099596675122,dolpchainwax,wjqrc.wam,events,99 WAX,($6.80)
Easter Dolp,1099529438187,dolpchainwax,s53mo.c.wam,events,34.3 WAX,($2.36)
Black Widolp,1099597126131,dolpchainwax,cotvq.wam,events,625.9 WAX,($43.00)
SpiderDolp,1099596892497,dolpchainwax,y11ay.wam,events,50 WAX,($3.44)
Tokyo 2020,1099809618296,dolpchainwax,2pdbi.wam,events,17 WAX,($1.17)
Dolp's Pizza,1099533983622,dolpchainwax,r3wb.wam,events,25 WAX,($1.72)
Dulk,1099597304476,dolpchainwax,n3ar.wam,events,0.99 WAX,($0.07)
Grey Dolp,1099675749598,dolpchainwax,pkzhy.wam,events,42.39 WAX,($2.91)
Black Widolp,1099597251177,dolpchainwax,iq.ca.wam,events,20 WAX,($1.37)
SpiderDolp,1099596771590,dolpchainwax,ynqea.wam,events,"1,900 WAX",($129.77)
Dulk,1099596722334,dolpchainwax,gydak.wam,events,499 WAX,($34.08)
SpiderDolp,1099597863191,dolpchainwax,cu2xu.wam,events,"1,785 WAX",($121.92)
Tokyo 2020,1099557129293,dolpchainwax,brutenciator,events,20.76 WAX,($1.42)
SpiderDolp,1099597985961,dolpchainwax,nieuwrouanne,events,275 WAX,($18.78)
Dulk,1099596853394,dolpchainwax,szfri.wam,events,400 WAX,($27.32)
Black Widolp,1099597366251,dolpchainwax,2peqy.wam,events,74 WAX,($5.05)
